"sexo","edad","tiempo","fecha"
"0","(45,60]",49790.3480017185,"31/08/2015"
"0","(60,Inf]",30547.3780007362,"31/08/2015"
"1","(0,18]",771.136999845505,"31/08/2015"
"1","(18,30]",11777.0490000248,"31/08/2015"
"1","(30,45]",49013.4179987907,"31/08/2015"
"1","(45,60]",33705.5320003033,"31/08/2015"
"1","(60,Inf]",1136.26400017738,"31/08/2015"
"0","(0,18]",2594.12099981308,"01/09/2015"
"0","(18,30]",92735.1039991379,"01/09/2015"
"0","(30,45]",195319.060000896,"01/09/2015"
"0","(45,60]",207606.056000233,"01/09/2015"
"0","(60,Inf]",166348.483001232,"01/09/2015"
"1","(18,30]",57561.8299994469,"01/09/2015"
"1","(30,45]",124968.327999115,"01/09/2015"
"1","(45,60]",94580.768999815,"01/09/2015"
"1","(60,Inf]",33375.3960001469,"01/09/2015"
"0","(0,18]",513.40299987793,"02/09/2015"
"0","(18,30]",72049.853000164,"02/09/2015"
"0","(30,45]",278781.437999725,"02/09/2015"
"0","(45,60]",205710.160997868,"02/09/2015"
"0","(60,Inf]",96438.4870004654,"02/09/2015"
"1","(0,18]",4494.91699981689,"02/09/2015"
"1","(18,30]",27852.7769999504,"02/09/2015"
"1","(30,45]",200431.002000332,"02/09/2015"
"1","(45,60]",198821.097000599,"02/09/2015"
"1","(60,Inf]",14426.4000000954,"02/09/2015"
"0","(18,30]",83788.0270004272,"03/09/2015"
"0","(30,45]",281579.86999917,"03/09/2015"
"0","(45,60]",163828.058999538,"03/09/2015"
"0","(60,Inf]",144042.213001013,"03/09/2015"
"1","(0,18]",845.077000141144,"03/09/2015"
"1","(18,30]",127156.419999123,"03/09/2015"
"1","(30,45]",142498.798998594,"03/09/2015"
"1","(45,60]",81851.0110011101,"03/09/2015"
"1","(60,Inf]",7363.57699990273,"03/09/2015"
"0","(0,18]",18392.5339999199,"04/09/2015"
"0","(18,30]",84216.3519995213,"04/09/2015"
"0","(30,45]",210436.905999899,"04/09/2015"
"0","(45,60]",172020.490000248,"04/09/2015"
"0","(60,Inf]",110028.0400002,"04/09/2015"
"1","(18,30]",49605.1220002174,"04/09/2015"
"1","(30,45]",159409.294998169,"04/09/2015"
"1","(45,60]",120153.926000357,"04/09/2015"
"1","(60,Inf]",23557.370000124,"04/09/2015"
"0","(0,18]",853.966000080109,"05/09/2015"
"0","(18,30]",24518.0830004215,"05/09/2015"
"0","(30,45]",138331.725001335,"05/09/2015"
"0","(45,60]",147550.62299943,"05/09/2015"
"0","(60,Inf]",95010.3230013847,"05/09/2015"
"1","(18,30]",43679.7409994602,"05/09/2015"
"1","(30,45]",103220.571999311,"05/09/2015"
"1","(45,60]",109608.780000448,"05/09/2015"
"1","(60,Inf]",18012.5880002975,"05/09/2015"
"0","(0,18]",20291.3050000668,"06/09/2015"
"0","(18,30]",57491.724998951,"06/09/2015"
"0","(30,45]",150237.422001123,"06/09/2015"
"0","(45,60]",165874.780998945,"06/09/2015"
"0","(60,Inf]",125132.304000616,"06/09/2015"
"1","(18,30]",45867.2059998512,"06/09/2015"
"1","(30,45]",86901.9349989891,"06/09/2015"
"1","(45,60]",109655.907999754,"06/09/2015"
"1","(60,Inf]",23093.8110001087,"06/09/2015"
"0","(0,18]",1944.35600018501,"07/09/2015"
"0","(18,30]",62221.4049992561,"07/09/2015"
"0","(30,45]",189440.418998718,"07/09/2015"
"0","(45,60]",202072.696001291,"07/09/2015"
"0","(60,Inf]",149386.896999359,"07/09/2015"
"1","(18,30]",63551.904999733,"07/09/2015"
"1","(30,45]",173937.854999542,"07/09/2015"
"1","(45,60]",111184.229000092,"07/09/2015"
"1","(60,Inf]",15677.8760001659,"07/09/2015"
"0","(0,18]",4580.66000032425,"08/09/2015"
"0","(18,30]",72702.5619990826,"08/09/2015"
"0","(30,45]",209063.088000059,"08/09/2015"
"0","(45,60]",191076.528999805,"08/09/2015"
"0","(60,Inf]",174989.548999786,"08/09/2015"
"1","(18,30]",90188.9060003757,"08/09/2015"
"1","(30,45]",192471.349001169,"08/09/2015"
"1","(45,60]",142375.642999649,"08/09/2015"
"1","(60,Inf]",8468.33599996567,"08/09/2015"
"0","(0,18]",1359.88399982452,"09/09/2015"
"0","(18,30]",133026.761000156,"09/09/2015"
"0","(30,45]",144123.008002758,"09/09/2015"
"0","(45,60]",170861.685999155,"09/09/2015"
"0","(60,Inf]",67567.4639999866,"09/09/2015"
"1","(0,18]",1019.88700008392,"09/09/2015"
"1","(18,30]",22131.8209993839,"09/09/2015"
"1","(30,45]",172043.488998652,"09/09/2015"
"1","(45,60]",86683.8240008354,"09/09/2015"
